City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,georgetown,5.4112,100.3354,25.96,87,20,2.57,MY,1703025559
83,talnakh,69.4865,88.3972,-13.77,66,100,12.74,RU,1703025559
84,yacuiba,-22.038,-63.6797,19.29,88,99,2.61,BO,1703025559
85,lensk,60.7253,114.9278,-28.07,92,96,4.65,RU,1703025559
86,magadan,59.5667,150.8,-24.73,87,59,4.66,RU,1703025559
87,nema,57.5067,50.5011,-0.19,97,100,7.92,RU,1703025559
88,mount isa,-20.7333,139.5,30.87,51,5,2.57,AU,1703025559
89,avarua,-21.2078,-159.775,26.03,73,100,4.63,CK,1703025559
90,la passe,45.5549,-0.8967,11.66,96,100,5.92,FR,1703025559
91,nuuk,64.1835,-51.7216,-3.66,93,100,8.23,GL,1703025560
92,ola,59.5833,151.2833,-25.54,89,28,4.58,RU,1703025560
93,ilulissat,69.2167,-51.1,-26.54,76,1,3.01,GL,1703025560
94,olonkinbyen,70.9221,-8.7187,-4.98,65,100,8.61,SJ,1703025560
95,kidal,18.4411,1.4078,14.24,18,4,7.11,ML,1703025560
96,ribeira grande,38.5167,-28.7,16.54,80,100,7.15,PT,1703025560
97,brooks,50.5834,-111.8851,0.99,81,100,2.57,CA,1703025560
98,san rafael,-34.6177,-68.3301,10.62,79,100,3.8,AR,1703025461
99,pionerskiy,54.9508,20.2275,6.91,90,100,6.8,RU,1703025560
100,kadugli,11.0167,29.7167,23.9,27,36,3.46,SD,1703025560
101,amos,48.5669,-78.1162,-8.25,65,85,4.05,CA,1703025284
102,jha-jha,24.7667,86.3667,13.25,52,99,2.58,IN,1703025560
103,tofol,5.3248,163.0078,27.8,78,100,8.76,FM,1703025560
104,muana,-1.5283,-49.2167,27.64,74,90,3.24,BR,1703025560
105,cova figueira,14.8905,-24.2934,20.65,73,100,6.78,CV,1703025560
106,puerto ayora,-0.7393,-90.3518,28.98,92,98,2.24,EC,1703025560
